# Configuration mp1 mp2 x1 x2 p Sx/M^2 Sy/M^2 Sz/M^2 mH1 mH2
#Repeated entry: KTH45PH30 0.303090 0.303173 4.187859 -4.527100 0.107491 -0.072411 0.125419 0.144822 0.505469 0.505459
#Repeated entry: KTH45PH60 0.303250 0.303335 4.187859 -4.527100 0.107491 -0.125419 0.072411 0.144822 0.505474 0.505464
#Repeated entry: KTH45PH90 0.303330 0.303416 4.187859 -4.527100 0.107491 -0.144822 0.000000 0.144822 0.505471 0.505465
#Repeated entry: KTH45PH120 0.303249 0.303336 4.187859 -4.527100 0.107491 -0.125419 -0.072411 0.144822 0.505460 0.505458
#Repeated entry: KTH45PH150 0.303091 0.303173 4.187859 -4.527100 0.107491 -0.072411 -0.125419 0.144822 0.505456 0.505452
KTH22.5PH0 0.303316 0.303422 4.133612 -4.576616 0.107486 0.000000 0.078379 0.189223 0.505509 0.505497
KTH22.5PH30 0.303338 0.303447 4.133612 -4.576616 0.107486 -0.039189 0.067878 0.189223 0.505512 0.505500
KTH22.5PH60 0.303385 0.303494 4.133612 -4.576616 0.107486 -0.067878 0.039189 0.189223 0.505514 0.505502
KTH22.5PH90 0.303406 0.303520 4.133612 -4.576616 0.107486 -0.078379 0.000000 0.189223 0.505512 0.505503
KTH22.5PH120 0.303384 0.303495 4.133612 -4.576616 0.107486 -0.067878 -0.039189 0.189223 0.505510 0.505501
KTH22.5PH150 0.303336 0.303449 4.133612 -4.576616 0.107486 -0.039189 -0.067878 0.189223 0.505508 0.505499
LPH0 0.302983 0.303118 4.400426 -4.164556 0.105611 0.000000 0.205015 0.000000 0.505728 0.505627
LPH30 0.303110 0.303193 4.400426 -4.164556 0.105611 -0.102508 0.177549 0.000000 0.505737 0.505652
LPH60 0.303359 0.303348 4.400426 -4.164556 0.105611 -0.177549 0.102508 0.000000 0.505732 0.505703
LPH90 0.303478 0.303430 4.400426 -4.164556 0.105611 -0.205015 0.000000 0.000000 0.505722 0.505727
LPH120 0.303361 0.303345 4.400426 -4.164556 0.105611 -0.177549 -0.102508 0.000000 0.505720 0.505699
LPH150 0.303111 0.303193 4.400426 -4.164556 0.105611 -0.102508 -0.177549 0.000000 0.505722 0.505649
N9TH55PH0 0.202809 0.485667 4.144277 -4.298725 0.107926 0.000000 0.188937 0.132295 0.508839 0.502637
N9TH55PH30 0.202990 0.485691 4.144277 -4.298725 0.107926 -0.094468 0.163624 0.132295 0.508843 0.502662
N9TH55PH60 0.203344 0.485745 4.144277 -4.298725 0.107926 -0.163624 0.094468 0.132295 0.508839 0.502712
N9TH55PH90 0.203494 0.485777 4.144277 -4.298725 0.107926 -0.188937 0.000000 0.132295 0.508828 0.502738
N9TH55PH150 0.202992 0.485690 4.144277 -4.298725 0.107926 -0.094468 -0.163624 0.132295 0.508828 0.502655
#Table XVIII of 1503.07536
NQ200TH30PH0 0.657661 0.202748 -2.771460 5.527396 0.097847 0.000000 0.045426 0.078681 0.672522 0.338027
NQ200TH30PH30 0.657672 0.202779 -2.771460 5.527396 0.097847 -0.022713 0.039340 0.078681 0.672533  0.338026
NQ200TH30PH60 0.657694 0.202838 -2.771460 5.527396 0.097847 -0.039340 0.022713 0.078681 0.672554 0.338021
NQ200TH30PH90 0.657706 0.202865 -2.771460 5.527396 0.097847 -0.045426 0.000000 0.078681 0.672564  0.338016
NQ200TH30PH120 0.657695 0.202837 -2.771460 5.527396 0.097847 -0.039340 -0.022713 0.078681 0.672552 0.338018
NQ200TH30PH150 0.657672 0.202780 -2.771460 5.527396 0.097847 -0.022713 -0.039340 0.078681 0.672531 0.338024
NQ200TH60PH0 0.657769 0.202707 -2.891856 5.572900 0.096793 0.000000 0.078662 0.045416 0.672365 0.338011
NQ200TH60PH30 0.657803 0.202792 -2.891856 5.572900 0.096793 -0.039331 0.068123 0.045416 0.672400  0.338009
NQ200TH60PH60 0.657869 0.202965 -2.891856 5.572900 0.096793 -0.068123 0.039331 0.045416 0.672461  0.337993
NQ200TH60PH90 0.657905 0.203045 -2.891856 5.572900 0.096793 -0.078662 0.000000 0.045416 0.672491 0.337976
NQ200TH60PH120 0.657871 0.202961 -2.891856 5.572900 0.096793 -0.068123 -0.039331 0.045416 0.672456  0.337987
NQ200TH60PH150 0.657803 0.202793 -2.891856 5.572900 0.096793 -0.039331 -0.068123 0.045416 0.672393  0.337999
NQ200TH90PH0 0.659633 0.204521 -3.585439 7.192939 0.082538 0.000000 0.090460 0.000000 0.671069  0.337321
NQ200TH90PH30 0.659666 0.204614 -3.585439 7.192939 0.082538 -0.045230 0.078341 0.000000 0.671103  0.337320
NQ200TH90PH60 0.659730 0.204803 -3.585439 7.192939 0.082538 -0.078341 0.045230 0.000000 0.671162  0.337307
NQ200TH90PH90 0.659766 0.204889 -3.585439 7.192939 0.082538 -0.090460 0.000000 0.000000 0.671192  0.337291
NQ200TH90PH120 0.659731 0.204801 -3.585439 7.192939 0.082538 -0.078341 -0.045230 0.000000 0.671158  0.337299
NQ200TH90PH150 0.659665 0.204615 -3.585439 7.192939 0.082538 -0.045230 -0.078341 0.000000 0.671096  0.337310
NQ200TH135PH0 0.659637 0.203763 -3.597259 7.249463 0.083015 0.000000 0.063950 -0.064273 0.671041  0.337289
NQ200TH135PH30 0.659653 0.203811 -3.597259 7.249463 0.083015 -0.031975 0.055382 -0.064273 0.671058  0.337288
NQ200TH135PH60 0.659688 0.203903 -3.597259 7.249463 0.083015 -0.055382 0.031975 -0.064273 0.671090  0.337281
NQ200TH135PH90 0.659706 0.203945 -3.597259 7.249463 0.083015 -0.063950 0.000000 -0.064273 0.671104  0.337274
NQ200TH135PH120 0.659687 0.203905 -3.597259 7.249463 0.083015 -0.055382 -0.031975 -0.064273 0.671085  0.337279
NQ200TH135PH150 0.659653 0.203812 -3.597259 7.249463 0.083015 -0.031975 -0.055382 -0.064273 0.671054  0.337286
NQ66TH60PH0 0.386665 0.370633 5.121102 -3.323698 0.103661 0.000000 0.255407 0.147459 0.403229 0.607961
NQ66TH60PH30 0.386678 0.370705 5.121102 -3.323698 0.103661 -0.127703 0.221189 0.147459 0.403241 0.607968
NQ66TH60PH60 0.386702 0.370854 5.121102 -3.323698 0.103661 -0.221189 0.127703 0.147459 0.403262 0.607967
NQ66TH60PH90 0.386714 0.370929 5.121102 -3.323698 0.103661 -0.255407 0.000000 0.147459 0.403272 0.607959
NQ66TH60PH120 0.386702 0.370854 5.121102 -3.323698 0.103661 -0.221189 -0.127703 0.147459 0.403261 0.607952
NQ66TH60PH150 0.386678 0.370705 5.121102 -3.323698 0.103661 -0.127703 -0.221189 0.147459 0.403240 0.607953
NQ50TH30PH0 0.320153 0.413088 5.635539 -2.699285 0.094907 0.000000 0.181834 0.314946 0.335733 0.674862
NQ50TH30PH30 0.320156 0.413103 5.635539 -2.699285 0.094907 -0.090917 0.157473 0.314946 0.335735 0.674864
NQ50TH30PH60 0.320161 0.413137 5.635539 -2.699285 0.094907 -0.157473 0.090917 0.314946 0.335739 0.674863
NQ50TH30PH90 0.320164 0.413152 5.635539 -2.699285 0.094907 -0.181834 0.000000 0.314946 0.335741 0.674858
NQ50TH30PH120 0.320161 0.413137 5.635539 -2.699285 0.094907 -0.157473 -0.090917 0.314946 0.335739 0.674857
NQ50TH30PH150 0.320156 0.413103 5.635539 -2.699285 0.094907 -0.090917 -0.157473 0.314946 0.335735 0.674859
NQ50TH60PH0 0.320095 0.412854 5.661860 -2.756275 0.095914 0.000000 0.314772 0.181734 0.335621 0.674669
NQ50TH60PH30 0.320102 0.412905 5.661860 -2.756275 0.095914 -0.157386 0.272600 0.181734 0.335626 0.674674
NQ50TH60PH60 0.320117 0.413015 5.661860 -2.756275 0.095914 -0.272600 0.157386 0.181734 0.335637 0.674670
NQ50TH60PH90 0.320125 0.413067 5.661860 -2.756275 0.095914 -0.314772 0.000000 0.181734 0.335643 0.674660
NQ50TH60PH120 0.320117 0.413016 5.661860 -2.756275 0.095914 -0.272600 -0.157386 0.181734 0.335636 0.674655
NQ50TH60PH150 0.320102 0.412906 5.661860 -2.756275 0.095914 -0.157386 -0.272600 0.181734 0.335626 0.674658
NQ50TH90PH0 0.321251 0.413415 6.294671 -3.135128 0.090701 0.000000 0.362558 0.000000 0.335224 0.673868
NQ50TH90PH30 0.321259 0.413489 6.294671 -3.135128 0.090701 -0.181279 0.313984 0.000000 0.335231 0.673875
NQ50TH90PH60 0.321278 0.413635 6.294671 -3.135128 0.090701 -0.313984 0.181279 0.000000 0.335245 0.673875
NQ50TH90PH90 0.321287 0.413706 6.294671 -3.135128 0.090701 -0.362558 0.000000 0.000000 0.335253 0.673865
NQ50TH90PH120 0.321278 0.413634 6.294671 -3.135128 0.090701 -0.313984 -0.181279 0.000000 0.335245 0.673858
NQ50TH90PH150 0.321259 0.413489 6.294671 -3.135128 0.090701 -0.181279 -0.313984 0.000000 0.335230 0.673859
NQ50TH135PH0 0.322668 0.412356 7.247496 -3.648883 0.083814 0.000000 0.255728 -0.257019 0.334841 0.673107
NQ50TH135PH30 0.322671 0.412394 7.247496 -3.648883 0.083814 -0.127864 0.221467 -0.257019 0.334843 0.673112
NQ50TH135PH60 0.322680 0.412461 7.247496 -3.648883 0.083814 -0.221467 0.127864 -0.257019 0.334851 0.673113
NQ50TH135PH90 0.322685 0.412492 7.247496 -3.648883 0.083814 -0.255728 0.000000 -0.257019 0.334856 0.673109
NQ50TH135PH120 0.322680 0.412461 7.247496 -3.648883 0.083814 -0.221467 -0.127864 -0.257019 0.334851 0.673107
NQ50TH135PH150 0.322671 0.412394 7.247496 -3.648883 0.083814 -0.127864 -0.221467 -0.257019 0.334843 0.673106
NQ33TH45PH0 0.238240 0.465805 6.488977 -2.115092 0.078787 0.000000 0.324038 0.324038 0.251143 0.757233
NQ33TH45PH30 0.238242 0.465823 6.488977 -2.115092 0.078787 -0.162019 0.280625 0.324038 0.251143 0.757235
NQ33TH45PH60 0.238246 0.465856 6.488977 -2.115092 0.078787 -0.280625 0.162019 0.324038 0.251145 0.757229
NQ33TH45PH90 0.238248 0.465872 6.488977 -2.115092 0.078787 -0.324038 0.000000 0.324038 0.251146 0.757220
NQ33TH45PH120 0.238246 0.465856 6.488977 -2.115092 0.078787 -0.280625 -0.162019 0.324038 0.251145 0.757219
NQ33TH45PH150 0.238242 0.465823 6.488977 -2.115092 0.078787 -0.162019 -0.280625 0.324038 0.251144 0.757225
NQ33TH75PH0 0.238466 0.465801 6.706603 -2.208784 0.078621 0.000000 0.442251 0.118501 0.251030 0.756911
NQ33TH75PH30 0.238470 0.465836 6.706603 -2.208784 0.078621 -0.221125 0.383000 0.118501 0.251032 0.756915
NQ33TH75PH60 0.238478 0.465903 6.706603 -2.208784 0.078621 -0.383000 0.221125 0.118501 0.251036 0.756905
NQ33TH75PH90 0.238483 0.465935 6.706603 -2.208784 0.078621 -0.442251 0.000000 0.118501 0.251038 0.756891
NQ33TH75PH120 0.238479 0.465902 6.706603 -2.208784 0.078621 -0.383000 -0.221125 0.118501 0.251036 0.756888
NQ33TH75PH150 0.238470 0.465836 6.706603 -2.208784 0.078621 -0.221125 -0.383000 0.118501 0.251032 0.756899
NQ33TH100PH0 0.238700 0.465917 6.922442 -2.301121 0.078312 0.000000 0.450542 -0.079443 0.250941 0.756638
NQ33TH100PH30 0.238704 0.465955 6.922442 -2.301121 0.078312 -0.225271 0.390181 -0.079443 0.250943 0.756643
NQ33TH100PH60 0.238712 0.466029 6.922442 -2.301121 0.078312 -0.390181 0.225271 -0.079443 0.250948 0.756635
NQ33TH100PH90 0.238717 0.466068 6.922442 -2.301121 0.078312 -0.450542 0.000000 -0.079443 0.250950 0.756623
NQ33TH100PH120 0.238712 0.466030 6.922442 -2.301121 0.078312 -0.390181 -0.225271 -0.079443 0.250947 0.756620
NQ33TH100PH150 0.238704 0.465954 6.922442 -2.301121 0.078312 -0.225271 -0.390181 -0.079443 0.250943 0.756627
NQ33TH135PH0 0.238673 0.466056 6.984499 -2.346910 0.079538 0.000000 0.323321 -0.323321 0.250893 0.756475
NQ33TH135PH30 0.238675 0.466077 6.984499 -2.346910 0.079538 -0.161661 0.280004 -0.323321 0.250897 0.756477
NQ33TH135PH60 0.238680 0.466120 6.984499 -2.346910 0.079538 -0.280004 0.161661 -0.323321 0.250899 0.756474
NQ33TH135PH90 0.238682 0.466141 6.984499 -2.346910 0.079538 -0.323321 0.000000 -0.323321 0.250900 0.756468
NQ33TH135PH120 0.238680 0.466119 6.984499 -2.346910 0.079538 -0.280004 -0.161661 -0.323321 0.250899 0.756466
NQ33TH135PH150 0.238675 0.466077 6.984499 -2.346910 0.079538 -0.161661 -0.280004 -0.323321 0.250897 0.756470
NQ25TH30PH0 0.189189 0.497251 6.646760 -1.592485 0.068115 0.000000 0.260215 0.450706 0.200676 0.806742
NQ25TH30PH30 0.189189 0.497253 6.646760 -1.592485 0.068115 -0.130108 0.225353 0.450706 0.200676 0.806743
NQ25TH30PH60 0.189190 0.497257 6.646760 -1.592485 0.068115 -0.225353 0.130108 0.450706 0.200675 0.806739
NQ25TH30PH90 0.189191 0.497258 6.646760 -1.592485 0.068115 -0.260215 0.000000 0.450706 0.200675 0.806733
NQ25TH30PH120 0.189190 0.497256 6.646760 -1.592485 0.068115 -0.225353 -0.130108 0.450706 0.200676 0.806735
NQ25TH30PH150 0.189189 0.497253 6.646760 -1.592485 0.068115 -0.130108 -0.225353 0.450706 0.200676 0.806740
NQ25TH60PH0 0.189172 0.497121 6.707817 -1.630201 0.069087 0.000000 0.450479 0.260084 0.200625 0.806549
NQ25TH60PH30 0.189174 0.497128 6.707817 -1.630201 0.069087 -0.225240 0.390126 0.260084 0.200625 0.806551
NQ25TH60PH60 0.189178 0.497141 6.707817 -1.630201 0.069087 -0.390126 0.225240 0.260084 0.200625 0.806536
NQ25TH60PH90 0.189178 0.497155 6.707817 -1.630201 0.069087 -0.450479 0.000000 0.260084 0.200623 0.806524
NQ25TH60PH120 0.189176 0.497148 6.707817 -1.630201 0.069087 -0.390126 -0.225240 0.260084 0.200623  0.806526
NQ25TH60PH135 0.189174 0.497141 6.707817 -1.630201 0.069087 -0.318537 -0.318537 0.260084 0.200623 0.806533
NQ25TH60PH150 0.189174 0.497128 6.707817 -1.630201 0.069087 -0.225240 -0.390126 0.260084 0.200625 0.806539
NQ25TH60PH165 0.189171 0.497129 6.707817 -1.630201 0.069087 -0.116593 -0.435129 0.260084 0.200623 0.806549
NQ25TH90PH0 0.189939 0.497422 7.350401 -1.823409 0.066499 0.000000 0.519321 0.000000 0.200473 0.805937
NQ25TH90PH30 0.189939 0.497445 7.350401 -1.823409 0.066499 -0.259660 0.449745 0.000000 0.200471 0.805942
NQ25TH90PH60 0.189944 0.497478 7.350401 -1.823409 0.066499 -0.449745 0.259660 0.000000 0.200472 0.805929
NQ25TH90PH90 0.189949 0.497487 7.350401 -1.823409 0.066499 -0.519321 0.000000 0.000000 0.200474 0.805912
NQ25TH90PH120 0.189944 0.497478 7.350401 -1.823409 0.066499 -0.449745 -0.259660 0.000000 0.200471 0.805915
NQ25TH90PH150 0.189939 0.497445 7.350401 -1.823409 0.066499 -0.259660 -0.449745 0.000000 0.200471 0.805928
NQ25TH135PH0 0.189675 0.497432 7.279719 -1.834398 0.069249 0.000000 0.367050 -0.367050 0.200442 0.805802
NQ25TH135PH30 0.189677 0.497441 7.279719 -1.834398 0.069249 -0.183525 0.317875 -0.367050 0.200442 0.805802
NQ25TH135PH60 0.189679 0.497462 7.279719 -1.834398 0.069249 -0.317875 0.183525 -0.367050 0.200443 0.805796
NQ25TH135PH90 0.189681 0.497470 7.279719 -1.834398 0.069249 -0.367050 0.000000 -0.367050 0.200443 0.805789
NQ25TH135PH120 0.189679 0.497461 7.279719 -1.834398 0.069249 -0.317875 -0.183525 -0.367050 0.200443 0.805791
NQ25TH135PH150 0.189677 0.497441 7.279719 -1.834398 0.069249 -0.183525 -0.317875 -0.367050 0.200443 0.805798
NQ25TH150PH0 0.191547 0.498278 8.969521 -2.262266 0.059615 0.000000 0.259019 -0.448634 0.200253 0.805027
NQ25TH150PH30 0.191547 0.498284 8.969521 -2.262266 0.059615 -0.129509 0.224317 -0.448634 0.200254 0.805029
NQ25TH150PH60 0.191548 0.498295 8.969521 -2.262266 0.059615 -0.224317 0.129509 -0.448634 0.200254 0.805029
NQ25TH150PH90 0.191549 0.498300 8.969521 -2.262266 0.059615 -0.259019 0.000000 -0.448634 0.200254 0.805027
NQ25TH150PH120 0.191548 0.498295 8.969521 -2.262266 0.059615 -0.224317 -0.129509 -0.448634 0.200254 0.805027
NQ25TH150PH150 0.191547 0.498284 8.969521 -2.262266 0.059615 -0.129509 -0.224317 -0.448634 0.200254 0.805027
NQ16TH45PH0 0.133879 0.532969 6.876253 -1.109823 0.053722 0.000000 0.420852 0.420852 0.143033 0.862491
NQ16TH45PH30 0.133879 0.532961 6.876253 -1.109823 0.053722 -0.210426 0.364468 0.420852 0.143032 0.862491
NQ16TH45PH60 0.133881 0.532945 6.876253 -1.109823 0.053722 -0.364468 0.210426 0.420852 0.143031 0.862478
NQ16TH45PH90 0.133882 0.532938 6.876253 -1.109823 0.053722 -0.420852 0.000000 0.420852 0.143030 0.862470
NQ16TH45PH120 0.133881 0.532944 6.876253 -1.109823 0.053722 -0.364468 -0.210426 0.420852 0.143031 0.862469
NQ16TH45PH150 0.133879 0.532961 6.876253 -1.109823 0.053722 -0.210426 -0.364468 0.420852 0.143032 0.862482
NQ16TH90PH0 0.134416 0.533165 7.501062 -1.237255 0.052689 0.000000 0.594371 0.000000 0.142945 0.861982
NQ16TH90PH30 0.134417 0.533158 7.501062 -1.237255 0.052689 -0.297185 0.514740 0.000000 0.142944 0.861977
NQ16TH90PH60 0.134420 0.533145 7.501062 -1.237255 0.052689 -0.514740 0.297185 0.000000 0.142943 0.861956
NQ16TH90PH90 0.134422 0.533138 7.501062 -1.237255 0.052689 -0.594371 0.000000 0.000000 0.142943 0.861940
NQ16TH90PH120 0.134420 0.533145 7.501062 -1.237255 0.052689 -0.514740 -0.297185 0.000000 0.142943 0.861944
NQ16TH90PH150 0.134417 0.533158 7.501062 -1.237255 0.052689 -0.297185 -0.514740 0.000000 0.142945 0.861966
NQ16TH115PH0 0.134769 0.533355 7.930790 -1.322498 0.051705 0.000000 0.538296 -0.251012 0.142901 0.861704
NQ16TH115PH30 0.134770 0.533355 7.930790 -1.322498 0.051705 -0.269148 0.466178 -0.251012 0.142900 0.861701
NQ16TH115PH60 0.134771 0.533353 7.930790 -1.322498 0.051705 -0.466178 0.269148 -0.251012 0.142899 0.861688
NQ16TH115PH90 0.134773 0.533350 7.930790 -1.322498 0.051705 -0.538296 0.000000 -0.251012 0.142899 0.861677
NQ16TH115PH120 0.134771 0.533353 7.930790 -1.322498 0.051705 -0.466178 -0.269148 -0.251012 0.142899 0.861681
NQ16TH115PH150 0.134770 0.533355 7.930790 -1.322498 0.051705 -0.269148 -0.466178 -0.251012 0.142900 0.861694
NQ16TH135PH0 0.134575 0.533333 7.795857 -1.308997 0.053162 0.000000 0.419958 -0.419958 0.142900 0.861696
NQ16TH135PH30 0.134576 0.533331 7.795857 -1.308997 0.053162 -0.209979 0.363694 -0.419958 0.142900 0.861688
NQ16TH135PH60 0.134577 0.533330 7.795857 -1.308997 0.053162 -0.363694 0.209979 -0.419958 0.142899 0.861676
NQ16TH135PH90 0.134578 0.533329 7.795857 -1.308997 0.053162 -0.419958 0.000000 -0.419958 0.142899 0.861667
NQ16TH135PH120 0.134577 0.533330 7.795857 -1.308997 0.053162 -0.363694 -0.209979 -0.419958 0.142900 0.861676
NQ16TH135PH150 0.134576 0.533331 7.795857 -1.308997 0.053162 -0.209979 -0.363694 -0.419958 0.142900 0.861684
